,,,,,,,,,"Normalized abundance",,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,"Spectral counts",,,,,,,,,,,
,,,,,,,,,"3 ng",,,"7.5 ng",,,"10 ng",,,"15 ng",,,"3 ng",,,"7.5 ng",,,"10 ng",,,"15 ng",,,"3 ng",,,"7.5 ng",,,"10 ng",,,"15 ng",,
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","QEP1_SpikeIn_230914_1_3ng_270914","QEP1_SpikeIn_230914_2_3ng_270914","QEP1_SpikeIn_230914_3_3ng_270914","QEP1_SpikeIn_230914_4_7-5ng_270914","QEP1_SpikeIn_230914_5_7-5ng_270914","QEP1_SpikeIn_230914_6_7-5ng_270914","QEP1_SpikeIn_230914_7_10ng_270914","QEP1_SpikeIn_230914_8_10ng_270914","QEP1_SpikeIn_230914_9_10ng_270914","QEP1_SpikeIn_230914_10_15ng_270914","QEP1_SpikeIn_230914_11_15ng_270914","QEP1_SpikeIn_230914_12_15ng_270914","QEP1_SpikeIn_230914_1_3ng_270914","QEP1_SpikeIn_230914_2_3ng_270914","QEP1_SpikeIn_230914_3_3ng_270914","QEP1_SpikeIn_230914_4_7-5ng_270914","QEP1_SpikeIn_230914_5_7-5ng_270914","QEP1_SpikeIn_230914_6_7-5ng_270914","QEP1_SpikeIn_230914_7_10ng_270914","QEP1_SpikeIn_230914_8_10ng_270914","QEP1_SpikeIn_230914_9_10ng_270914","QEP1_SpikeIn_230914_10_15ng_270914","QEP1_SpikeIn_230914_11_15ng_270914","QEP1_SpikeIn_230914_12_15ng_270914","QEP1_SpikeIn_230914_1_3ng_270914","QEP1_SpikeIn_230914_2_3ng_270914","QEP1_SpikeIn_230914_3_3ng_270914","QEP1_SpikeIn_230914_4_7-5ng_270914","QEP1_SpikeIn_230914_5_7-5ng_270914","QEP1_SpikeIn_230914_6_7-5ng_270914","QEP1_SpikeIn_230914_7_10ng_270914","QEP1_SpikeIn_230914_8_10ng_270914","QEP1_SpikeIn_230914_9_10ng_270914","QEP1_SpikeIn_230914_10_15ng_270914","QEP1_SpikeIn_230914_11_15ng_270914","QEP1_SpikeIn_230914_12_15ng_270914"
"P0ACF0|DBHA_ECOLI","3","0","232.06","2.49356757464625E-10","3.85218333815262","15 ng","3 ng","DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1","34163587.7930898","33305836.6397999","35282662.9275188","75871840.4210672","73944955.5810077","74356113.4256313","90015294.6400236","85492803.9623103","89305480.9500191","124257956.905707","137557847.07075","134004074.913711","35359157.904829","35063775.074254","34904288.3542901","68211997.9465712","73944955.5810077","74506674.5245583","87187990.0029898","78711716.7225148","88062217.1175826","123757452.466804","129632181.802125","122372438.869653","4","2","1","3","4","2","4","2","4","3","3","2"
"sp|P0ACF0|DBHA_ECOLI","3","0","320.04","2.49356757464625E-10","3.85218333815262","15 ng","3 ng","DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1","34163587.7930898","33305836.6397999","35282662.9275188","75871840.4210672","73944955.5810077","74356113.4256313","90015294.6400236","85492803.9623103","89305480.9500191","124257956.905707","137557847.07075","134004074.913711","35359157.904829","35063775.074254","34904288.3542901","68211997.9465712","73944955.5810077","74506674.5245583","87187990.0029898","78711716.7225148","88062217.1175826","123757452.466804","129632181.802125","122372438.869653","2","0","0","1","2","1","1","2","1","1","2","2"
"P05055|PNP_ECOLI","2","2","81.68","2.50970910720127E-10","22.1395498249847","15 ng","3 ng","Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3","77917.7403856328","90981.4159685068","98264.5043558036","730458.623265192","775795.015070164","785968.978473496","1093763.1548026","942141.394565134","1051669.74947428","1827274.44887284","2076614.29059836","2010994.43824189","80644.5067353357","95783.5691070642","97210.7066315351","656713.239506253","775795.015070164","787560.459626419","1059408.97475179","867412.964888348","1037028.95756229","1819914.28461834","1956966.08360904","1836438.88530578","0","0","0","0","1","0","1","0","1","1","2","1"
"P64581|YQJD_ECOLI","2","0","101.49","4.36128688718895E-10","4.87245868115127","15 ng","3 ng","Uncharacterized protein YqjD OS=Escherichia coli (strain K12) GN=yqjD PE=1 SV=1","1800315.71614866","1696697.01983231","1818998.8397064","4590867.68469587","4539852.84016762","4611141.06172088","5679913.83321902","5869698.53186051","5773755.57413564","8038939.94868747","8525337.39140805","9337769.410963","1863318.57389761","1786251.56052872","1799491.72622431","4127384.48604316","4539852.84016762","4620478.00032048","5501512.52061061","5404127.91104671","5693376.39240693","8006559.52630981","8034133.34957945","8527245.28830778","0","0","0","1","1","0","1","2","1","2","2","2"
"sp|P64581|YQJD_ECOLI","2","0","91.9","4.36128688718895E-10","4.87245868115127","15 ng","3 ng","Uncharacterized protein YqjD OS=Escherichia coli (strain K12) GN=yqjD PE=1 SV=1","1800315.71614866","1696697.01983231","1818998.8397064","4590867.68469587","4539852.84016762","4611141.06172088","5679913.83321902","5869698.53186051","5773755.57413564","8038939.94868747","8525337.39140805","9337769.410963","1863318.57389761","1786251.56052872","1799491.72622431","4127384.48604316","4539852.84016762","4620478.00032048","5501512.52061061","5404127.91104671","5693376.39240693","8006559.52630981","8034133.34957945","8527245.28830778","0","0","0","1","0","0","0","1","1","1","1","1"
"sp|P0AD61|KPYK1_ECOLI","4","1","195.73","5.0986570521161E-10","6.46352332008419","15 ng","3 ng","Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1","1502995.42689267","1507810.99259437","1623795.35785854","5135553.14673891","4805722.82544179","5155654.83612339","6182669.5017018","6787778.70976706","6339284.51262271","9262598.89520974","10011968.4501497","10681289.3218174","1555593.42747027","1587395.80904683","1606381.62475108","4617079.78554047","4805722.82544179","5166094.34166037","5988477.05672549","6249388.13813897","6251032.33510541","9225289.63970389","9435109.24287297","9754146.84534674","0","0","0","0","0","0","1","1","1","3","2","2"
"P0A6A8|ACP_ECOLI","2","1","204.82","5.98186722378102E-10","7.35141033135384","15 ng","3 ng","Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2","8404176.23502145","8632941.34940922","9417593.98206131","36919876.4321044","33747760.1889912","33539089.9788411","42050112.4992506","39027370.0403465","39294334.7273822","59866369.7186764","68631224.4687409","65981845.7354778","8698284.16013853","9088602.60676312","9316598.82443606","33192532.5838688","33747760.1889912","33607002.1115708","40729353.8600397","35931811.2480529","38747299.7115409","59625231.1668174","64676901.8059608","60254580.9817421","0","0","1","2","0","1","2","2","3","3","3","3"
"P60624|RL24_ECOLI","3","2","151.93","7.66287810982647E-10","6.47688078195612","15 ng","3 ng","50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2","1340324.50642984","1325221.88680156","1266229.8886705","3981800.1744384","4359508.05055636","4522034.79591268","4662059.98166296","4534757.54948262","5109604.03330041","8001116.10483638","8700154.57854776","8764375.55581715","1387229.76502341","1395169.3411827","1252650.72105723","3579806.99842141","4359508.05055636","4531191.3063446","4515628.60178472","4175071.29369062","5038470.81924572","7968888.03488922","8198878.10146392","8003622.37212218","0","0","0","0","0","0","0","0","0","1","2","2"
